Product_ID,Wafer_ID,Lot_ID,Factory,Line,Shift,Process_Mode,Product_Type,Material_Supplier,Chamber_ID,Temperature,Chamber_Pressure,Gas_Flow,Etch_Rate,Chamber_Humidity,Particle_Count,Thickness_Uniformity,Voltage_Stability,Cycle_Time,Defect
CHIP-00001,WAFER-00001,LOT-027,A,L3,Night,High_Speed,Standard,S3,CH-04,497.51,2.497,117.99,1.408,38.19,19.7,0.9311,0.9828,30.19,0
CHIP-00002,WAFER-00002,LOT-024,C,L1,Night,Normal,Advanced,S1,CH-04,501.13,2.619,,1.536,44.54,27.9,0.9162,0.9394,31.93,0
CHIP-00003,WAFER-00003,LOT-002,B,L1,Day,High_Speed,Advanced,,CH-04,484.87,2.824,113.12,1.584,,18.6,0.9379,,37.58,1
CHIP-00004,WAFER-00004,LOT-007,B,L2,Day,Normal,Premium,S1,CH-03,488.05,2.495,116.33,1.564,35.4,26.8,0.9781,0.9615,26.08,0
CHIP-00005,WAFER-00005,LOT-004,A,L1,Night,High_Speed,Standard,S3,CH-04,474.32,2.452,127.21,1.542,50.63,27.4,0.9283,,29.44,0
CHIP-00006,WAFER-00006,LOT-024,C,L1,Night,Normal,Premium,S2,CH-03,477.56,2.06,125.24,1.455,38.08,11.3,0.9326,0.9773,30.25,0
CHIP-00007,WAFER-00007,LOT-033,A,L1,Day,Normal,Standard,S1,CH-03,488.01,2.869,131.69,1.413,45.72,13.2,0.9245,0.9801,29.32,0
CHIP-00008,WAFER-00008,LOT-034,C,L2,Night,High_Speed,Premium,,CH-01,464.25,2.186,117.45,1.667,37.68,20.6,0.9266,0.9793,30.35,0
CHIP-00009,WAFER-00009,LOT-034,B,L2,Day,Normal,Standard,S2,CH-01,479.54,2.47,116.55,1.493,28.38,16.1,0.9332,0.9794,30.21,0
CHIP-00010,WAFER-00010,LOT-017,A,L2,Day,Normal,Advanced,,CH-03,485.3,2.626,121.0,1.448,33.32,21.3,0.966,0.9644,24.61,0
CHIP-00011,WAFER-00011,LOT-038,B,L2,Night,High_Speed,Advanced,S2,CH-02,472.32,2.365,121.51,1.611,37.99,21.5,0.929,0.9848,27.13,0
CHIP-00012,WAFER-00012,LOT-032,C,L3,Day,Normal,Premium,S3,CH-02,470.39,2.675,114.5,1.449,39.85,24.9,0.937,0.9632,30.96,0
