wafer_id,etch_chamber_temp_avg,cmp_endpoint_thickness,thermal_anneal_temp_max,etch_endpoint_signal,wafer_edge_exclusion,etch_pressure_peak,cmp_pad_temp,deposition_uniformity_index,deposition_thickness_var,cleaning_dhf_concentration,deposition_rate_mean,implant_dose_total,litho_overlay_y,etch_chamber_temp_std,deposition_gas_flow_avg,litho_overlay_x,metrology_cd_mean,cmp_slurry_flow_rate,implant_beam_current,metrology_cd_uniformity,etch_rf_power_mean,cmp_polish_time,litho_exposure_time,deposition_chamber_pressure,litho_dose_avg,implant_tilt_angle,implant_energy_mean,cmp_pressure_avg,particle_count_post,litho_focus_offset,inspection_result
WH_0000,2.23,17.77,10.1066,66.4333,57.6641,-5333.75,11.3429,0.0492,,1.8,0.6304,15.74,6.34615,55.4572,3.569,8.1584,0.0,1.4391,3.12,0.0192,-3.543,4.1872,0.103,0.0755,0.0295,5.353,1.735,15.65,221.4286,-0.0085,Pass
WH_0001,0.8764,,4.9259,69.3333,902.0772,0.0,0.0,0.0,8.7696,3.3099,0.7713,15.91,6.34615,60.1367,,0.0,,0.0,19.9,0.0254,1.939,0.0,0.0,0.1004,0.0295,6.5683,0.9791,15.93,52.4656,-0.011,Pass
WH_0002,27.4627,12.5373,5.4171,72.8222,529.3532,-6312.25,7.6993,0.046,9.3998,3.2042,0.6518,15.82,6.7535,,21.9603,11.3706,0.0,1.8363,6.76,0.0533,,4.3765,0.1119999999999999,0.2177,0.0315,5.8049,1.38,15.88,410.1695,-0.01,Pass
WH_0003,-2.8555,22.8555,6.7199,,0.0,-6476.25,,0.0344,,2.0083,,15.51,,51.3761,5.6831,7.2993,0.0,6.763,5.02,0.0279,-1.277,2.842,0.08,0.0956,0.0295,5.6773,1.102,15.47,767.4074,-0.0109,Pass
WH_0004,-2.0836,22.0836,13.9342,,229.3217,,6.4235,0.0466,8.7568,3.8979,0.7611,15.9,2.6482,35.6627,8.4789,7.9365,0.0,1.1425,7.32,0.0182,0.4258,,0.1,,0.0123,,0.9838,15.95,134.6375,-0.0104,Pass
WH_0005,5.6364,14.3636,,72.7222,428.9362,-5632.0,18.3594,0.0608,8.9562,2.3876,0.8068,15.67,8.5961,35.1145,14.6447,10.9831,0.0,2.0704,4.19,0.0304,0.0,5.7257,0.143,0.104,0.0391,6.0739,0.8798,15.58,146.5192,-0.0131,Pass
WH_0006,-0.9945,20.9945,10.0217,71.5444,0.0,-5477.5,3.4687,0.0804,8.287,2.7901,0.8349,15.84,2.0829,,20.1597,14.686,0.0,0.6159,9.57,0.0284,-2.647,,0.19,0.0998,0.0097,5.7735,1.182,15.82,0.0,-0.0132,Pass
WH_0007,1.8182,18.1818,15.0856,66.3778,379.4562,-5742.25,10.1528,0.0624,8.5266,4.9517,0.6897,15.82,6.34615,39.7059,15.8639,10.2504,0.0,2.7292,7.44,0.0216,-0.5204,3.1774,0.132,,0.0295,5.5382,1.078,15.87,214.4928,-0.0068,Pass
WH_0008,-0.3736,,8.061,68.7667,0.0,-5135.0,11.0808,0.0536,8.9635,4.157,0.7591,15.93,3.2042,,25.5613,9.2971,,3.2641,8.67,0.0127,-1.655,6.4484,0.123,0.0487,0.0147,5.2192,,15.95,229.6029,-0.0107,Pass
WH_0009,10.32587910870291,22.49,6.9637,68.7,0.0,-5247.0,16.9621,0.0582,8.8909,3.4734,0.7772,16.03,6.34615,68.8,17.6291,9.2204,0.0,2.3038,8.79,0.2390146191746591,0.2838,7.5616,0.123,0.4892,,5.4164,1.286,16.07,643.7673,-0.0018509618191423,Fail
